Category,Details
"Program","MiM"
"Intake","Fall"
"Duration","15 Months"
"Tuition Fees","USD 69,110"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","697"
"Recommended Scores - Recommended GRE","394"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.mit.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","317"
"Class Profile - Average GPA","3.45"
"Class Profile - Average GMAT Score","694"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.mit.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$112817"
"Employment Statistics - Finance","$105334"
"Employment Statistics - Marketing","$88964"
"Employment Statistics - Information Technology","$103065"
"Employment Statistics - Average Salary (in $)","$102545"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","445%"
"Deadlines","Round 1: October 11, Round 2: January 15, Round 3: March 12"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at MIT - Sloan School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","UC Berkeley - Haas School of Business"
"University","UC Berkeley - Haas School of Business"
"Location","Italy"
"Program","MiM"
"Intake","Fall"
"Duration","15 Months"
"Tuition Fees","USD 51,905"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","707"
"Recommended Scores - Recommended GRE","395"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.uc.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","321"
"Class Profile - Average GPA","3.98"
"Class Profile - Average GMAT Score","708"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.uc.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$97112"
"Employment Statistics - Finance","$113060"
"Employment Statistics - Marketing","$106948"
"Employment Statistics - Information Technology","$93240"
"Employment Statistics - Average Salary (in $)","$102590"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","592%"
"Deadlines","Round 1: October 12, Round 2: January 4, Round 3: March 4"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at UC Berkeley - Haas School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Columbia Business School"
"University","Columbia Business School"
"Location","Italy"
"Program","MiM"
"Intake","September"
"Duration","16 Months"
"Tuition Fees","USD 67,698"
"GMAT/GRE Waiver","Yes"
"Recommended Scores - Recommended GMAT","718"
"Recommended Scores - Recommended GRE","396"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.columbia.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","325"
"Class Profile - Average GPA","3.30"
"Class Profile - Average GMAT Score","711"
"Class Profile - Average Age","25"
"Class Profile URL","https://www.columbia.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$92597"
"Employment Statistics - Finance","$116140"
"Employment Statistics - Marketing","$77879"
"Employment Statistics - Information Technology","$103768"
"Employment Statistics - Average Salary (in $)","$97596"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","432%"
"Deadlines","Round 1: October 4, Round 2: January 10, Round 3: March 5"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at Columbia Business School. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE (can be waived)"
"Application Requirements - Interview","By invitation only"
""
"University","Carnegie Mellon University - Tepper School of Business"
"University","Carnegie Mellon University - Tepper School of Business"
"Location","Italy"
"Program","MiM"
"Intake","Fall"
"Duration","12 Months"
"Tuition Fees","USD 51,337"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","694"
"Recommended Scores - Recommended GRE","393"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.carnegie.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","4 Years"
"Class Profile - Average GRE Score","326"
"Class Profile - Average GPA","3.54"
"Class Profile - Average GMAT Score","709"
"Class Profile - Average Age","27"
"Class Profile URL","https://www.carnegie.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$114258"
"Employment Statistics - Finance","$100425"
"Employment Statistics - Marketing","$104024"
"Employment Statistics - Information Technology","$111762"
"Employment Statistics - Average Salary (in $)","$107617"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","628%"
"Deadlines","Round 1: October 6, Round 2: January 13, Round 3: March 9"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at Carnegie Mellon University - Tepper School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","NYU - Stern School of Business"
"University","NYU - Stern School of Business"
"Location","Italy"
"Program","MiM"
"Intake","September"
"Duration","10 Months"
"Tuition Fees","USD 63,982"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","706"
"Recommended Scores - Recommended GRE","395"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.nyu.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","326"
"Class Profile - Average GPA","3.70"
"Class Profile - Average GMAT Score","702"
"Class Profile - Average Age","24"
"Class Profile URL","https://www.nyu.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$95719"
"Employment Statistics - Finance","$111518"
"Employment Statistics - Marketing","$109190"
"Employment Statistics - Information Technology","$92019"
"Employment Statistics - Average Salary (in $)","$102111"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","478%"
"Deadlines","Round 1: October 15, Round 2: January 13, Round 3: March 14"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at NYU - Stern School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Northwestern University - Kellogg School of Management"
"University","Northwestern University - Kellogg School of Management"
"Location","Italy"
"Program","MiM"
"Intake","Fall"
"Duration","12 Months"
"Tuition Fees","USD 62,090"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","682"
"Recommended Scores - Recommended GRE","392"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.northwestern.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","326"
"Class Profile - Average GPA","3.60"
"Class Profile - Average GMAT Score","676"
"Class Profile - Average Age","25"
"Class Profile URL","https://www.northwestern.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$103031"
"Employment Statistics - Finance","$120926"
"Employment Statistics - Marketing","$105039"
"Employment Statistics - Information Technology","$102644"
"Employment Statistics - Average Salary (in $)","$107910"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","521%"
"Deadlines","Round 1: October 8, Round 2: January 13, Round 3: March 10"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at Northwestern University - Kellogg School of Management. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Harvard University"
"University","Harvard University"
"Location","Italy"
"Program","MSc Marketing"
"Intake","Fall, Spring"
"Duration","16 Months"
"Tuition Fees","USD 52,044"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","709"
"Recommended Scores - Recommended GRE","395"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.harvard.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","5 Years"
"Class Profile - Average GRE Score","322"
"Class Profile - Average GPA","3.37"
"Class Profile - Average GMAT Score","710"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.harvard.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$103981"
"Employment Statistics - Finance","$92134"
"Employment Statistics - Marketing","$109899"
"Employment Statistics - Information Technology","$129499"
"Employment Statistics - Average Salary (in $)","$108878"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","627%"
"Deadlines","Round 1: October 12, Round 2: January 2, Round 3: March 15"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at Harvard University. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Stanford University"
"University","Stanford University"
"Location","Italy"
"Program","MSc Marketing"
"Intake","Fall"
"Duration","15 Months"
"Tuition Fees","USD 64,912"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","716"
"Recommended Scores - Recommended GRE","396"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.stanford.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","320"
"Class Profile - Average GPA","3.73"
"Class Profile - Average GMAT Score","707"
"Class Profile - Average Age","25"
"Class Profile URL","https://www.stanford.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$90213"
"Employment Statistics - Finance","$119261"
"Employment Statistics - Marketing","$83026"
"Employment Statistics - Information Technology","$109688"
"Employment Statistics - Average Salary (in $)","$100547"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","464%"
"Deadlines","Round 1: October 11, Round 2: January 3, Round 3: March 5"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at Stanford University. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","MIT - Sloan School of Business"
"University","MIT - Sloan School of Business"
"Location","Italy"
"Program","MSc Marketing"
"Intake","Fall, Spring"
"Duration","15 Months"
"Tuition Fees","USD 49,993"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","699"
"Recommended Scores - Recommended GRE","394"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.mit.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","325"
"Class Profile - Average GPA","3.51"
"Class Profile - Average GMAT Score","708"
"Class Profile - Average Age","29"
"Class Profile URL","https://www.mit.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$80063"
"Employment Statistics - Finance","$119640"
"Employment Statistics - Marketing","$96557"
"Employment Statistics - Information Technology","$97860"
"Employment Statistics - Average Salary (in $)","$98530"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","591%"
"Deadlines","Round 1: October 15, Round 2: January 14, Round 3: March 11"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at MIT - Sloan School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","UC Berkeley - Haas School of Business"
"University","UC Berkeley - Haas School of Business"
"Location","Italy"
"Program","MSc Marketing"
"Intake","September"
"Duration","15 Months"
"Tuition Fees","USD 62,114"
"GMAT/GRE Waiver","Yes"
"Recommended Scores - Recommended GMAT","712"
"Recommended Scores - Recommended GRE","396"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.uc.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","321"
"Class Profile - Average GPA","3.53"
"Class Profile - Average GMAT Score","727"
"Class Profile - Average Age","24"
"Class Profile URL","https://www.uc.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$114747"
"Employment Statistics - Finance","$99885"
"Employment Statistics - Marketing","$100265"
"Employment Statistics - Information Technology","$93679"
"Employment Statistics - Average Salary (in $)","$102144"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","493%"
"Deadlines","Round 1: October 11, Round 2: January 7, Round 3: March 11"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at UC Berkeley - Haas School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE (can be waived)"
"Application Requirements - Interview","By invitation only"
""
"University","Columbia Business School"
"University","Columbia Business School"
"Location","Italy"
"Program","MSc Marketing"
"Intake","Fall, Spring"
"Duration","12 Months"
"Tuition Fees","USD 67,258"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","704"
"Recommended Scores - Recommended GRE","395"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.columbia.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","315"
"Class Profile - Average GPA","3.49"
"Class Profile - Average GMAT Score","700"
"Class Profile - Average Age","27"
"Class Profile URL","https://www.columbia.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$119108"
"Employment Statistics - Finance","$99876"
"Employment Statistics - Marketing","$89607"
"Employment Statistics - Information Technology","$101865"
"Employment Statistics - Average Salary (in $)","$102614"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","457%"
"Deadlines","Round 1: October 2, Round 2: January 7, Round 3: March 14"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at Columbia Business School. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Carnegie Mellon University - Tepper School of Business"
"University","Carnegie Mellon University - Tepper School of Business"
"Location","Italy"
"Program","MSc Marketing"
"Intake","Fall"
"Duration","15 Months"
"Tuition Fees","USD 55,669"
"GMAT/GRE Waiver","Yes"
"Recommended Scores - Recommended GMAT","702"
"Recommended Scores - Recommended GRE","394"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.carnegie.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","322"
"Class Profile - Average GPA","3.55"
"Class Profile - Average GMAT Score","692"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.carnegie.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$82539"
"Employment Statistics - Finance","$93253"
"Employment Statistics - Marketing","$75522"
"Employment Statistics - Information Technology","$123577"
"Employment Statistics - Average Salary (in $)","$93722"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","505%"
"Deadlines","Round 1: October 11, Round 2: January 7, Round 3: March 13"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at Carnegie Mellon University - Tepper School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE (can be waived)"
"Application Requirements - Interview","By invitation only"
""
"University","NYU - Stern School of Business"
"University","NYU - Stern School of Business"
"Location","Italy"
"Program","MSc Marketing"
"Intake","September, January"
"Duration","10 Months"
"Tuition Fees","USD 48,230"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","682"
"Recommended Scores - Recommended GRE","392"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.nyu.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","323"
"Class Profile - Average GPA","3.69"
"Class Profile - Average GMAT Score","686"
"Class Profile - Average Age","25"
"Class Profile URL","https://www.nyu.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$119686"
"Employment Statistics - Finance","$106970"
"Employment Statistics - Marketing","$102822"
"Employment Statistics - Information Technology","$93203"
"Employment Statistics - Average Salary (in $)","$105670"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","657%"
"Deadlines","Round 1: October 10, Round 2: January 11, Round 3: March 14"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at NYU - Stern School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Northwestern University - Kellogg School of Management"
"University","Northwestern University - Kellogg School of Management"
"Location","Italy"
"Program","MSc Marketing"
"Intake","Fall, Spring"
"Duration","12 Months"
"Tuition Fees","USD 49,379"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","696"
"Recommended Scores - Recommended GRE","394"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.northwestern.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","321"
"Class Profile - Average GPA","3.58"
"Class Profile - Average GMAT Score","689"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.northwestern.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$100994"
"Employment Statistics - Finance","$110194"
"Employment Statistics - Marketing","$103261"
"Employment Statistics - Information Technology","$128446"
"Employment Statistics - Average Salary (in $)","$110723"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","672%"
"Deadlines","Round 1: October 1, Round 2: January 8, Round 3: March 8"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at Northwestern University - Kellogg School of Management. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Harvard University"
"University","Harvard University"
"Location","Italy"
"Program","MSBA"
"Intake","September"
"Duration","15 Months"
"Tuition Fees","USD 66,454"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","703"
"Recommended Scores - Recommended GRE","394"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.harvard.edu/programs/msba/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","315"
"Class Profile - Average GPA","3.76"
"Class Profile - Average GMAT Score","699"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.harvard.edu/programs/msba/class-profile"
"Employment Statistics - Consulting","$112910"
"Employment Statistics - Finance","$111627"
"Employment Statistics - Marketing","$107211"
"Employment Statistics - Information Technology","$120816"
"Employment Statistics - Average Salary (in $)","$113141"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","510%"
"Deadlines","Round 1: October 10, Round 2: January 1, Round 3: March 8"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSBA at Harvard University. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Stanford University"
"University","Stanford University"
"Location","Italy"
"Program","MSBA"
"Intake","Fall"
"Duration","10 Months"
"Tuition Fees","USD 58,657"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","689"
"Recommended Scores - Recommended GRE","393"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.stanford.edu/programs/msba/admissions/eligibility"
"Class Profile - Average Work Experience","5 Years"
"Class Profile - Average GRE Score","326"
"Class Profile - Average GPA","3.38"
"Class Profile - Average GMAT Score","687"
"Class Profile - Average Age","29"
"Class Profile URL","https://www.stanford.edu/programs/msba/class-profile"
"Employment Statistics - Consulting","$85122"
"Employment Statistics - Finance","$103457"
"Employment Statistics - Marketing","$80963"
"Employment Statistics - Information Technology","$101879"
"Employment Statistics - Average Salary (in $)","$92855"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","474%"
"Deadlines","Round 1: October 11, Round 2: January 7, Round 3: March 3"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSBA at Stanford University. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","MIT - Sloan School of Business"
"University","MIT - Sloan School of Business"
"Location","Italy"
"Program","MSBA"
"Intake","September, January"
"Duration","10 Months"
"Tuition Fees","USD 51,180"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","697"
"Recommended Scores - Recommended GRE","394"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.mit.edu/programs/msba/admissions/eligibility"
"Class Profile - Average Work Experience","4 Years"
"Class Profile - Average GRE Score","316"
"Class Profile - Average GPA","3.42"
"Class Profile - Average GMAT Score","709"
"Class Profile - Average Age","25"
"Class Profile URL","https://www.mit.edu/programs/msba/class-profile"
"Employment Statistics - Consulting","$86079"
"Employment Statistics - Finance","$86118"
"Employment Statistics - Marketing","$78145"
"Employment Statistics - Information Technology","$109694"
"Employment Statistics - Average Salary (in $)","$90009"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","527%"
"Deadlines","Round 1: October 7, Round 2: January 7, Round 3: March 12"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSBA at MIT - Sloan School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","UC Berkeley - Haas School of Business"
"University","UC Berkeley - Haas School of Business"
"Location","Italy"
"Program","MSBA"
"Intake","September"
"Duration","12 Months"
"Tuition Fees","USD 65,678"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","717"
"Recommended Scores - Recommended GRE","396"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.uc.edu/programs/msba/admissions/eligibility"
"Class Profile - Average Work Experience","5 Years"
"Class Profile - Average GRE Score","326"
"Class Profile - Average GPA","3.55"
"Class Profile - Average GMAT Score","708"
"Class Profile - Average Age","29"
"Class Profile URL","https://www.uc.edu/programs/msba/class-profile"
"Employment Statistics - Consulting","$94656"
"Employment Statistics - Finance","$120830"
"Employment Statistics - Marketing","$82751"
"Employment Statistics - Information Technology","$113704"
"Employment Statistics - Average Salary (in $)","$102985"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","470%"
"Deadlines","Round 1: October 14, Round 2: January 2, Round 3: March 3"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSBA at UC Berkeley - Haas School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Columbia Business School"
"University","Columbia Business School"
"Location","Italy"
"Program","MSBA"
"Intake","Fall, Spring"
"Duration","10 Months"
"Tuition Fees","USD 54,289"
"GMAT/GRE Waiver","Yes"
"Recommended Scores - Recommended GMAT","711"
"Recommended Scores - Recommended GRE","395"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.columbia.edu/programs/msba/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","316"
"Class Profile - Average GPA","3.87"
"Class Profile - Average GMAT Score","713"
"Class Profile - Average Age","26"
"Class Profile URL","https://www.columbia.edu/programs/msba/class-profile"
"Employment Statistics - Consulting","$114910"
"Employment Statistics - Finance","$122615"
"Employment Statistics - Marketing","$82363"
"Employment Statistics - Information Technology","$116906"
"Employment Statistics - Average Salary (in $)","$109198"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","603%"
"Deadlines","Round 1: October 12, Round 2: January 2, Round 3: March 15"
